"","Genetic_distance","density"
"1",0,0.0505050505050505
"2",1,0.00242424242424242
"3",2,0.00464646464646464
"4",3,0.00646464646464647
"5",4,0.0119191919191919
"6",5,0.0262626262626262
"7",6,0.0696969696969697
"8",7,0.15010101010101
"9",8,0.308484848484848
"10",9,0.552525252525252
"11",10,0.824040404040404
"12",11,1.14383838383838
"13",12,1.37777777777778
"14",13,1.4979797979798
"15",14,1.39535353535353
"16",15,1.20262626262626
"17",16,0.902424242424242
"18",17,0.610909090909091
"19",18,0.414343434343434
"20",19,0.210505050505051
"21",20,0.131717171717172
"22",21,0.0614141414141414
"23",22,0.0286868686868687
"24",23,0.0105050505050505
"25",24,0.00363636363636363
"26",25,0.000606060606060606
"27",26,0.000606060606060606
"28",27,0
"29",28,0
"30",29,0
