"","Genetic_distance","density"
"1",0,0.0446464646464646
"2",1,0.000404040404040404
"3",2,0.000808080808080808
"4",3,0.00666666666666667
"5",4,0.00808080808080808
"6",5,0.0351515151515151
"7",6,0.0660606060606061
"8",7,0.161414141414141
"9",8,0.382222222222222
"10",9,0.603838383838384
"11",10,0.992727272727272
"12",11,1.31393939393939
"13",12,1.55535353535354
"14",13,1.61636363636364
"15",14,1.45333333333333
"16",15,1.13575757575758
"17",16,0.787474747474747
"18",17,0.452727272727273
"19",18,0.227272727272727
"20",19,0.100606060606061
"21",20,0.0412121212121212
"22",21,0.0105050505050505
"23",22,0.00242424242424242
"24",23,0.000404040404040404
"25",24,0.000606060606060606
"26",25,0
"27",26,0
"28",27,0
"29",28,0
"30",29,0
