"","Genetic_distance","density"
"1",0,0.119191919191919
"2",0.1,0.00202020202020202
"3",0.2,0.00404040404040404
"4",0.3,0.00404040404040404
"5",0.4,0.00808080808080808
"6",0.5,0.00202020202020202
"7",0.6,0.0101010101010101
"8",0.7,0.0262626262626262
"9",0.8,0.0242424242424242
"10",0.9,0.0141414141414141
"11",1,0.0262626262626262
"12",1.1,0.0565656565656565
"13",1.2,0.088888888888889
"14",1.3,0.0949494949494948
"15",1.4,0.153535353535354
"16",1.5,0.175757575757576
"17",1.6,0.246464646464646
"18",1.7,0.341414141414142
"19",1.8,0.393939393939393
"20",1.9,0.597979797979798
"21",2,0.787878787878787
"22",2.1,0.927272727272726
"23",2.2,1.07878787878788
"24",2.3,1.30707070707071
"25",2.4,1.51111111111112
"26",2.5,1.74747474747475
"27",2.6,2.07676767676768
"28",2.7,2.32121212121212
"29",2.8,2.74545454545454
"30",2.9,2.89898989898991
"31",3,3.05454545454545
"32",3.1,3.33939393939394
"33",3.2,3.39797979797979
"34",3.3,3.51717171717171
"35",3.4,3.7878787878788
"36",3.5,4.03030303030303
"37",3.6,4.04040404040404
"38",3.7,3.87272727272727
"39",3.8,4.07070707070707
"40",3.9,3.96565656565658
"41",4,3.87878787878786
"42",4.1,3.75757575757577
"43",4.2,3.76161616161618
"44",4.3,3.43030303030301
"45",4.4,3.41212121212122
"46",4.5,3.18383838383837
"47",4.6,2.97979797979799
"48",4.7,2.78787878787877
"49",4.8,2.71515151515153
"50",4.9,2.45454545454546
"51",5,2.2161616161616
"52",5.1,2.03636363636364
"53",5.2,1.73737373737373
"54",5.3,1.67070707070708
"55",5.4,1.4929292929293
"56",5.5,1.36565656565656
"57",5.6,1.23434343434344
"58",5.7,1.13333333333333
"59",5.8,1.02424242424243
"60",5.9,0.87676767676768
"61",6,0.822222222222219
"62",6.1,0.640404040404044
"63",6.2,0.547474747474745
"64",6.3,0.501010101010104
"65",6.4,0.404040404040405
"66",6.5,0.385858585858584
"67",6.6,0.347474747474749
"68",6.7,0.331313131313129
"69",6.8,0.276767676767678
"70",6.9,0.236363636363637
"71",7,0.187878787878787
"72",7.1,0.171717171717172
"73",7.2,0.137373737373737
"74",7.3,0.137373737373738
"75",7.4,0.125252525252526
"76",7.5,0.0949494949494945
"77",7.6,0.107070707070707
"78",7.7,0.0727272727272723
"79",7.8,0.0585858585858588
"80",7.9,0.0464646464646466
"81",8,0.0606060606060608
"82",8.1,0.0525252525252517
"83",8.2,0.0323232323232324
"84",8.3,0.0242424242424244
"85",8.4,0.0282828282828284
"86",8.5,0.0242424242424243
"87",8.6,0.0181818181818179
"88",8.7,0.00808080808080811
"89",8.8,0.0101010101010101
"90",8.9,0.0181818181818183
"91",9,0.0181818181818182
"92",9.1,0.01010101010101
"93",9.2,0.00808080808080812
"94",9.3,0.00606060606060608
"95",9.4,0.00606060606060609
"96",9.5,0
"97",9.6,0.00404040404040406
"98",9.7,0.00202020202020203
"99",9.8,0.00606060606060609
"100",9.9,0.00202020202020203
"101",10,0
"102",10.1,0
"103",10.2,0.00202020202020203
"104",10.3,0.00202020202020203
"105",10.4,0.00202020202020203
"106",10.5,0.00202020202020199
"107",10.6,0
"108",10.7,0
"109",10.8,0
"110",10.9,0
"111",11,0
"112",11.1,0
"113",11.2,0
"114",11.3,0
"115",11.4,0
"116",11.5,0.00202020202020199
"117",11.6,0
"118",11.7,0
"119",11.8,0
"120",11.9,0
