"","Genetic_distance","density"
"1",0,0.15959595959596
"2",0.1,0
"3",0.2,0
"4",0.3,0.00202020202020202
"5",0.4,0
"6",0.5,0
"7",0.6,0.00606060606060606
"8",0.7,0.00202020202020202
"9",0.8,0.0101010101010101
"10",0.9,0.0282828282828283
"11",1,0.0323232323232323
"12",1.1,0.0848484848484847
"13",1.2,0.0808080808080809
"14",1.3,0.127272727272727
"15",1.4,0.153535353535354
"16",1.5,0.185858585858586
"17",1.6,0.262626262626262
"18",1.7,0.373737373737374
"19",1.8,0.511111111111111
"20",1.9,0.620202020202021
"21",2,0.69090909090909
"22",2.1,1.01010101010101
"23",2.2,1.22020202020202
"24",2.3,1.57171717171717
"25",2.4,1.73939393939395
"26",2.5,1.89494949494949
"27",2.6,2.24646464646464
"28",2.7,2.5030303030303
"29",2.8,2.78585858585858
"30",2.9,3.09494949494951
"31",3,3.18585858585858
"32",3.1,3.4969696969697
"33",3.2,3.51515151515151
"34",3.3,3.86262626262626
"35",3.4,3.84646464646466
"36",3.5,3.91515151515151
"37",3.6,4.1010101010101
"38",3.7,3.96565656565656
"39",3.8,4.04848484848485
"40",3.9,3.93131313131315
"41",4,3.88282828282826
"42",4.1,4.02020202020203
"43",4.2,3.5878787878788
"44",4.3,3.56363636363635
"45",4.4,3.34747474747476
"46",4.5,3.26060606060604
"47",4.6,3.04646464646466
"48",4.7,2.79999999999999
"49",4.8,2.67070707070708
"50",4.9,2.36767676767678
"51",5,2.15151515151514
"52",5.1,1.93333333333334
"53",5.2,1.71515151515151
"54",5.3,1.61818181818182
"55",5.4,1.36161616161617
"56",5.5,1.26464646464646
"57",5.6,1.03030303030303
"58",5.7,0.93333333333333
"59",5.8,0.86666666666667
"60",5.9,0.761616161616164
"61",6,0.664646464646462
"62",6.1,0.565656565656568
"63",6.2,0.505050505050503
"64",6.3,0.44848484848485
"65",6.4,0.379797979797981
"66",6.5,0.343434343434342
"67",6.6,0.26868686868687
"68",6.7,0.204040404040403
"69",6.8,0.193939393939395
"70",6.9,0.187878787878788
"71",7,0.103030303030302
"72",7.1,0.131313131313132
"73",7.2,0.119191919191918
"74",7.3,0.0949494949494953
"75",7.4,0.0484848484848486
"76",7.5,0.0545454545454543
"77",7.6,0.0545454545454547
"78",7.7,0.0181818181818181
"79",7.8,0.0323232323232324
"80",7.9,0.0343434343434345
"81",8,0.0242424242424243
"82",8.1,0.0141414141414139
"83",8.2,0.0121212121212122
"84",8.3,0.0141414141414142
"85",8.4,0.00808080808080812
"86",8.5,0.00404040404040406
"87",8.6,0.01010101010101
"88",8.7,0.00202020202020203
"89",8.8,0.00202020202020203
"90",8.9,0
"91",9,0
"92",9.1,0
"93",9.2,0.00404040404040406
"94",9.3,0.00202020202020203
"95",9.4,0
"96",9.5,0
"97",9.6,0
"98",9.7,0
"99",9.8,0
"100",9.9,0
"101",10,0
"102",10.1,0
"103",10.2,0
"104",10.3,0
"105",10.4,0
"106",10.5,0
"107",10.6,0
"108",10.7,0
"109",10.8,0
"110",10.9,0
"111",11,0
"112",11.1,0
"113",11.2,0
"114",11.3,0
"115",11.4,0
"116",11.5,0
"117",11.6,0
"118",11.7,0
"119",11.8,0
"120",11.9,0
