"","Genetic_distance","density"
"1",0,0.157575757575758
"2",0.1,0
"3",0.2,0
"4",0.3,0
"5",0.4,0
"6",0.5,0.00202020202020202
"7",0.6,0.00202020202020202
"8",0.7,0.0464646464646465
"9",0.8,0.0202020202020202
"10",0.9,0.0101010101010101
"11",1,0.0787878787878787
"12",1.1,0.0969696969696969
"13",1.2,0.119191919191919
"14",1.3,0.187878787878788
"15",1.4,0.256565656565656
"16",1.5,0.345454545454545
"17",1.6,0.462626262626262
"18",1.7,0.602020202020203
"19",1.8,0.715151515151514
"20",1.9,1.09090909090909
"21",2,1.24444444444444
"22",2.1,1.49696969696969
"23",2.2,1.86060606060606
"24",2.3,2
"25",2.4,2.43636363636365
"26",2.5,2.87878787878788
"27",2.6,3.31313131313131
"28",2.7,3.67070707070707
"29",2.8,3.91111111111111
"30",2.9,4.11717171717173
"31",3,4.58181818181818
"32",3.1,4.54949494949495
"33",3.2,4.78787878787878
"34",3.3,4.94141414141414
"35",3.4,4.81414141414143
"36",3.5,4.82828282828282
"37",3.6,4.76565656565656
"38",3.7,4.56565656565656
"39",3.8,4.33535353535353
"40",3.9,4.16767676767678
"41",4,3.74747474747473
"42",4.1,3.56161616161617
"43",4.2,3.32929292929294
"44",4.3,2.89292929292928
"45",4.4,2.64040404040405
"46",4.5,2.32727272727271
"47",4.6,2.08484848484849
"48",4.7,1.99797979797979
"49",4.8,1.58585858585859
"50",4.9,1.2969696969697
"51",5,1.22424242424242
"52",5.1,1.01414141414142
"53",5.2,0.886868686868682
"54",5.3,0.72727272727273
"55",5.4,0.600000000000002
"56",5.5,0.45252525252525
"57",5.6,0.466666666666668
"58",5.7,0.32121212121212
"59",5.8,0.290909090909092
"60",5.9,0.232323232323233
"61",6,0.163636363636363
"62",6.1,0.12929292929293
"63",6.2,0.149494949494949
"64",6.3,0.101010101010101
"65",6.4,0.078787878787879
"66",6.5,0.0646464646464643
"67",6.6,0.0585858585858587
"68",6.7,0.0323232323232321
"69",6.8,0.0222222222222223
"70",6.9,0.0222222222222223
"71",7,0.0121212121212121
"72",7.1,0.0101010101010101
"73",7.2,0.00404040404040402
"74",7.3,0.00202020202020203
"75",7.4,0
"76",7.5,0.00202020202020201
"77",7.6,0.00202020202020203
"78",7.7,0
"79",7.8,0.00202020202020203
"80",7.9,0
"81",8,0.00202020202020203
"82",8.1,0
"83",8.2,0
"84",8.3,0
"85",8.4,0
"86",8.5,0
"87",8.6,0
"88",8.7,0
"89",8.8,0
"90",8.9,0
"91",9,0
"92",9.1,0
"93",9.2,0
"94",9.3,0
"95",9.4,0
"96",9.5,0
"97",9.6,0
"98",9.7,0
"99",9.8,0
"100",9.9,0
