"","Genetic_distance","density"
"1",0,0.0492929292929293
"2",1,0.000808080808080808
"3",2,0.00222222222222222
"4",3,0.00262626262626262
"5",4,0.00888888888888889
"6",5,0.0276767676767677
"7",6,0.0688888888888889
"8",7,0.137979797979798
"9",8,0.303838383838384
"10",9,0.545858585858585
"11",10,0.891515151515152
"12",11,1.24141414141414
"13",12,1.48666666666667
"14",13,1.64606060606061
"15",14,1.45252525252525
"16",15,1.22242424242424
"17",16,0.835757575757576
"18",17,0.521818181818182
"19",18,0.303636363636364
"20",19,0.144646464646465
"21",20,0.0684848484848485
"22",21,0.023030303030303
"23",22,0.00767676767676768
"24",23,0.00404040404040404
"25",24,0.00121212121212121
"26",25,0.000404040404040404
"27",26,0.000404040404040404
"28",27,0.000202020202020202
"29",28,0
"30",29,0
