"","Genetic_distance","density"
"1",0,0.0129292929292929
"2",1,0.00161616161616162
"3",2,0.00181818181818182
"4",3,0.00525252525252525
"5",4,0.0123232323232323
"6",5,0.0256565656565656
"7",6,0.0703030303030303
"8",7,0.158787878787879
"9",8,0.30969696969697
"10",9,0.574343434343434
"11",10,0.872727272727273
"12",11,1.15292929292929
"13",12,1.4149494949495
"14",13,1.52666666666667
"15",14,1.44808080808081
"16",15,1.20343434343434
"17",16,0.888080808080808
"18",17,0.613737373737374
"19",18,0.363434343434343
"20",19,0.18020202020202
"21",20,0.0903030303030302
"22",21,0.0470707070707071
"23",22,0.0167676767676768
"24",23,0.00545454545454546
"25",24,0.00181818181818181
"26",25,0.00141414141414141
"27",26,0
"28",27,0.000202020202020202
"29",28,0
"30",29,0
