"","Genetic_distance","density"
"1",0,0.0157575757575758
"2",1,0.000606060606060606
"3",2,0.000808080808080808
"4",3,0.00585858585858586
"5",4,0.0113131313131313
"6",5,0.0367676767676768
"7",6,0.0864646464646465
"8",7,0.177575757575758
"9",8,0.341818181818182
"10",9,0.601010101010101
"11",10,0.903030303030303
"12",11,1.2840404040404
"13",12,1.5549494949495
"14",13,1.62989898989899
"15",14,1.48242424242424
"16",15,1.1779797979798
"17",16,0.797373737373737
"18",17,0.463838383838384
"19",18,0.250505050505051
"20",19,0.105656565656566
"21",20,0.0486868686868687
"22",21,0.016969696969697
"23",22,0.00444444444444445
"24",23,0.00202020202020202
"25",24,0.000202020202020202
"26",25,0
"27",26,0
"28",27,0
"29",28,0
"30",29,0
