"","Genetic_distance","density"
"1",0,0.0468686868686869
"2",1,0.000404040404040404
"3",2,0.00161616161616162
"4",3,0.00363636363636363
"5",4,0.0103030303030303
"6",5,0.0361616161616162
"7",6,0.0838383838383839
"8",7,0.166262626262626
"9",8,0.324848484848485
"10",9,0.561212121212121
"11",10,0.84969696969697
"12",11,1.16545454545455
"13",12,1.36848484848485
"14",13,1.56060606060606
"15",14,1.42969696969697
"16",15,1.21474747474748
"17",16,0.91939393939394
"18",17,0.623636363636363
"19",18,0.31979797979798
"20",19,0.169090909090909
"21",20,0.0832323232323232
"22",21,0.0363636363636363
"23",22,0.014949494949495
"24",23,0.00606060606060606
"25",24,0.00262626262626263
"26",25,0.000808080808080808
"27",26,0.000202020202020202
"28",27,0
"29",28,0
"30",29,0
