"","Genetic_distance","density"
"1",0,0.016969696969697
"2",1,0.00444444444444444
"3",2,0.00484848484848485
"4",3,0.00787878787878787
"5",4,0.0137373737373737
"6",5,0.0282828282828283
"7",6,0.0575757575757575
"8",7,0.12969696969697
"9",8,0.272727272727273
"10",9,0.466060606060606
"11",10,0.70969696969697
"12",11,1.0189898989899
"13",12,1.23212121212121
"14",13,1.42828282828283
"15",14,1.3430303030303
"16",15,1.29636363636364
"17",16,1.04121212121212
"18",17,0.777777777777777
"19",18,0.516565656565657
"20",19,0.312121212121212
"21",20,0.178383838383838
"22",21,0.0860606060606061
"23",22,0.0373737373737373
"24",23,0.0129292929292929
"25",24,0.00545454545454546
"26",25,0.00141414141414141
"27",26,0
"28",27,0
"29",28,0
"30",29,0
