"","Genetic_distance","density"
"1",0,0.468686868686869
"2",0.1,0
"3",0.2,0
"4",0.3,0
"5",0.4,0
"6",0.5,0.0141414141414141
"7",0.6,0.00202020202020202
"8",0.7,0.00808080808080808
"9",0.8,0.0181818181818182
"10",0.9,0.0242424242424242
"11",1,0.0424242424242423
"12",1.1,0.0505050505050505
"13",1.2,0.080808080808081
"14",1.3,0.145454545454545
"15",1.4,0.181818181818182
"16",1.5,0.218181818181818
"17",1.6,0.270707070707071
"18",1.7,0.343434343434344
"19",1.8,0.476767676767676
"20",1.9,0.668686868686868
"21",2,0.876767676767677
"22",2.1,1.03636363636363
"23",2.2,1.08484848484848
"24",2.3,1.23636363636363
"25",2.4,1.68888888888889
"26",2.5,1.90707070707071
"27",2.6,2.09090909090909
"28",2.7,2.55353535353535
"29",2.8,2.78585858585858
"30",2.9,3.1858585858586
"31",3,3.3979797979798
"32",3.1,3.4040404040404
"33",3.2,3.68484848484848
"34",3.3,3.93333333333333
"35",3.4,4.00000000000001
"36",3.5,4.0020202020202
"37",3.6,4.33737373737373
"38",3.7,4.17171717171717
"39",3.8,4.07474747474747
"40",3.9,4.25252525252527
"41",4,3.89494949494947
"42",4.1,3.76161616161618
"43",4.2,3.54141414141415
"44",4.3,3.73939393939392
"45",4.4,3.47070707070708
"46",4.5,3.25656565656564
"47",4.6,2.85252525252526
"48",4.7,2.73737373737372
"49",4.8,2.42828282828284
"50",4.9,2.42020202020203
"51",5,2.16363636363635
"52",5.1,1.72323232323233
"53",5.2,1.7111111111111
"54",5.3,1.4949494949495
"55",5.4,1.44848484848485
"56",5.5,1.2020202020202
"57",5.6,1.04444444444445
"58",5.7,0.91515151515151
"59",5.8,0.745454545454548
"60",5.9,0.707070707070711
"61",6,0.614141414141412
"62",6.1,0.490909090909092
"63",6.2,0.454545454545452
"64",6.3,0.44848484848485
"65",6.4,0.288888888888889
"66",6.5,0.244444444444443
"67",6.6,0.27878787878788
"68",6.7,0.183838383838383
"69",6.8,0.181818181818182
"70",6.9,0.13939393939394
"71",7,0.129292929292929
"72",7.1,0.105050505050505
"73",7.2,0.0989898989898984
"74",7.3,0.0666666666666669
"75",7.4,0.0444444444444447
"76",7.5,0.0464646464646462
"77",7.6,0.0262626262626264
"78",7.7,0.0262626262626261
"79",7.8,0.0444444444444446
"80",7.9,0.0121212121212122
"81",8,0.0222222222222223
"82",8.1,0.0121212121212119
"83",8.2,0.00606060606060608
"84",8.3,0.0202020202020203
"85",8.4,0.00404040404040406
"86",8.5,0.0141414141414142
"87",8.6,0.00404040404040398
"88",8.7,0.00202020202020203
"89",8.8,0
"90",8.9,0.00404040404040406
"91",9,0.00202020202020203
"92",9.1,0
"93",9.2,0
"94",9.3,0.00202020202020203
"95",9.4,0
"96",9.5,0
"97",9.6,0
"98",9.7,0.00404040404040406
"99",9.8,0
"100",9.9,0
"101",10,0
"102",10.1,0
"103",10.2,0
"104",10.3,0
"105",10.4,0
"106",10.5,0
"107",10.6,0
"108",10.7,0
"109",10.8,0
"110",10.9,0
"111",11,0
"112",11.1,0
"113",11.2,0
"114",11.3,0
"115",11.4,0
"116",11.5,0
"117",11.6,0
"118",11.7,0
"119",11.8,0
"120",11.9,0
