"","Genetic_distance","density"
"1",0,0.161616161616162
"2",0.1,0.00202020202020202
"3",0.2,0
"4",0.3,0
"5",0.4,0.0101010101010101
"6",0.5,0.00404040404040404
"7",0.6,0.00606060606060606
"8",0.7,0.00808080808080808
"9",0.8,0.0282828282828283
"10",0.9,0.0242424242424242
"11",1,0.0343434343434343
"12",1.1,0.0646464646464646
"13",1.2,0.086868686868687
"14",1.3,0.131313131313131
"15",1.4,0.234343434343435
"16",1.5,0.305050505050505
"17",1.6,0.353535353535353
"18",1.7,0.472727272727274
"19",1.8,0.65050505050505
"20",1.9,0.814141414141415
"21",2,1.12727272727273
"22",2.1,1.35151515151515
"23",2.2,1.52525252525252
"24",2.3,1.79191919191919
"25",2.4,2.21414141414142
"26",2.5,2.4020202020202
"27",2.6,2.95959595959596
"28",2.7,3.24848484848485
"29",2.8,3.6040404040404
"30",2.9,3.67272727272728
"31",3,4.17575757575757
"32",3.1,4.3010101010101
"33",3.2,4.77575757575757
"34",3.3,4.49696969696969
"35",3.4,4.4868686868687
"36",3.5,4.62626262626262
"37",3.6,4.46666666666666
"38",3.7,4.35555555555555
"39",3.8,4.16363636363636
"40",3.9,4.17575757575759
"41",4,3.84646464646463
"42",4.1,3.75959595959597
"43",4.2,3.35959595959597
"44",4.3,3.20404040404039
"45",4.4,2.97575757575759
"46",4.5,2.68080808080807
"47",4.6,2.45252525252526
"48",4.7,2.25656565656565
"49",4.8,2.12121212121213
"50",4.9,1.77575757575758
"51",5,1.46666666666666
"52",5.1,1.32525252525253
"53",5.2,1.15151515151515
"54",5.3,0.9959595959596
"55",5.4,0.909090909090913
"56",5.5,0.668686868686866
"57",5.6,0.624242424242426
"58",5.7,0.513131313131311
"59",5.8,0.43838383838384
"60",5.9,0.363636363636365
"61",6,0.272727272727271
"62",6.1,0.290909090909092
"63",6.2,0.212121212121211
"64",6.3,0.183838383838384
"65",6.4,0.137373737373738
"66",6.5,0.113131313131313
"67",6.6,0.103030303030303
"68",6.7,0.0828282828282823
"69",6.8,0.0787878787878791
"70",6.9,0.070707070707071
"71",7,0.0565656565656562
"72",7.1,0.0505050505050508
"73",7.2,0.0343434343434342
"74",7.3,0.0262626262626263
"75",7.4,0.0202020202020203
"76",7.5,0.01010101010101
"77",7.6,0.0101010101010102
"78",7.7,0.018181818181818
"79",7.8,0.00606060606060609
"80",7.9,0.00606060606060609
"81",8,0.00202020202020203
"82",8.1,0.00404040404040398
"83",8.2,0.00202020202020203
"84",8.3,0.00404040404040406
"85",8.4,0
"86",8.5,0
"87",8.6,0
"88",8.7,0
"89",8.8,0
"90",8.9,0
"91",9,0
"92",9.1,0.00202020202020199
"93",9.2,0
"94",9.3,0
"95",9.4,0
"96",9.5,0
"97",9.6,0
"98",9.7,0
"99",9.8,0
"100",9.9,0
